"","WT 1","WT 2","WT 3","KO 1","KO 2","KO 3"
"ENSMUSG00000024116",0,0,0,0,0,0
"ENSMUSG00000024118",310,478,554,315,368,395
"ENSMUSG00000024120",2170,2578,3340,1881,2430,2411
"ENSMUSG00000024121",842,987,1156,586,797,814
"ENSMUSG00000024122",7587,8444,11922,6856,9479,9667
"ENSMUSG00000024124",11,1,24,13,6,18
"ENSMUSG00000024125",0,0,0,0,0,0
"ENSMUSG00000024127",14489,17056,23203,12729,17105,17356
"ENSMUSG00000024128",0,0,0,0,0,0
"ENSMUSG00000024130",5416,5097,6973,4002,5436,5781
"ENSMUSG00000024131",3,4,1,2,3,1
"ENSMUSG00000024132",327,542,769,393,624,465
"ENSMUSG00000024134",37,34,51,14,27,55
"ENSMUSG00000024135",487,561,607,371,563,520
"ENSMUSG00000024136",121,224,242,136,167,299
"ENSMUSG00000024137",955,1411,1506,842,1169,1323
"ENSMUSG00000024140",7321,7782,13295,7484,11446,9479
"ENSMUSG00000024142",1393,1803,2458,1245,1699,1596
"ENSMUSG00000024143",2013,2116,3590,1926,2662,2724
"ENSMUSG00000024145",222,250,311,175,212,308
"ENSMUSG00000024146",820,1178,1455,785,1129,1154
"ENSMUSG00000024150",2215,2927,3492,1846,2520,2727
"ENSMUSG00000024151",1344,1594,2142,1121,1604,1614
"ENSMUSG00000024154",13,5,21,4,4,17
"ENSMUSG00000024155",2,0,6,3,1,0
"ENSMUSG00000024158",1266,1741,2284,1118,1621,1673
"ENSMUSG00000024160",156,334,396,166,243,276
"ENSMUSG00000024163",21009,26345,35791,18490,24835,25109
"ENSMUSG00000024164",9,13,33,51,56,32
"ENSMUSG00000024165",73,94,174,72,90,100
"ENSMUSG00000024168",346,401,550,413,649,489
"ENSMUSG00000024169",1097,1598,1817,1037,1342,1393
"ENSMUSG00000024170",768,1028,1194,645,869,924
"ENSMUSG00000024171",0,0,0,0,0,0
"ENSMUSG00000024172",3274,3623,5716,2332,3710,3554
"ENSMUSG00000024173",0,0,1,0,0,0
"ENSMUSG00000024174",196,85,138,119,154,162
"ENSMUSG00000024175",11,10,32,41,23,74
"ENSMUSG00000024176",2648,3055,4530,2414,3913,2913
"ENSMUSG00000024177",82,96,112,44,89,70
"ENSMUSG00000024180",1036,1160,1289,733,1136,1002
"ENSMUSG00000024181",1200,1616,1931,993,1538,1448
"ENSMUSG00000024182",1244,1550,2083,1035,1376,1579
"ENSMUSG00000024184",0,0,0,4,1,1
"ENSMUSG00000024186",1740,1809,2200,1402,1946,1524
"ENSMUSG00000024187",775,698,1084,608,1005,709
"ENSMUSG00000024188",5355,6530,7947,4847,6141,6584
"ENSMUSG00000024190",6860,10295,8067,4970,5363,4392
"ENSMUSG00000024191",704,783,1006,537,704,748
"ENSMUSG00000024193",2192,2780,3379,1798,2219,2431
"ENSMUSG00000024194",907,1370,1726,938,1472,1203
"ENSMUSG00000024197",594,590,1026,679,946,758
"ENSMUSG00000024201",3002,3355,4495,2342,3226,3733
"ENSMUSG00000024205",3,3,4,1,1,1
"ENSMUSG00000024206",89,120,161,81,128,126
"ENSMUSG00000024207",4,1,3,0,4,2
"ENSMUSG00000024208",817,1291,1699,874,1210,1087
"ENSMUSG00000024209",29,42,49,16,40,41
"ENSMUSG00000024210",45,62,92,43,133,79
"ENSMUSG00000024211",674,741,1152,591,992,782
"ENSMUSG00000024212",4169,4787,6602,3422,5248,5244
"ENSMUSG00000024213",10056,12991,17745,8645,13885,12344
"ENSMUSG00000024215",8,7,16,4,14,12
"ENSMUSG00000024217",90,101,121,61,69,75
"ENSMUSG00000024218",1382,1732,2215,1063,1444,1549
"ENSMUSG00000024219",2352,2702,3688,1927,2699,2681
"ENSMUSG00000024220",3933,4692,6316,3280,4864,4970
"ENSMUSG00000024222",963,1071,1799,1280,1306,2548
"ENSMUSG00000024223",0,3,1,0,0,1
"ENSMUSG00000024224",0,0,0,0,0,0
"ENSMUSG00000024225",0,0,0,0,0,0
"ENSMUSG00000024227",154,237,299,158,351,211
"ENSMUSG00000024228",370,402,554,293,449,497
"ENSMUSG00000024231",1923,2221,3060,1638,2032,2400
"ENSMUSG00000024232",146,196,349,110,189,262
"ENSMUSG00000024233",0,0,0,0,0,0
"ENSMUSG00000024234",1152,1441,1738,962,1196,1148
"ENSMUSG00000024235",89,116,161,93,115,133
"ENSMUSG00000024236",372,501,627,397,575,496
"ENSMUSG00000024238",3242,3710,5111,2927,4151,4066
"ENSMUSG00000024240",2061,2285,3006,1583,2164,2213
"ENSMUSG00000024241",3304,3871,5522,2681,3820,4607
"ENSMUSG00000024242",3461,3542,4922,2555,3515,3618
"ENSMUSG00000024245",3423,5415,6616,3345,4982,4400
"ENSMUSG00000024246",170,181,256,168,224,190
"ENSMUSG00000024247",325,484,564,296,467,441
"ENSMUSG00000024248",141,673,590,102,457,392
"ENSMUSG00000024251",664,694,1048,589,636,681
"ENSMUSG00000024253",527,590,682,360,514,554
"ENSMUSG00000024254",0,1,1,2,0,0
"ENSMUSG00000024256",639,903,1291,730,941,769
"ENSMUSG00000024258",591,731,1054,500,688,696
"ENSMUSG00000024259",4159,4902,7287,3421,4962,5344
"ENSMUSG00000024260",1868,2116,2983,1605,2033,2204
"ENSMUSG00000024261",13044,15457,19075,9228,12743,14246
"ENSMUSG00000024266",7,6,7,2,10,5
"ENSMUSG00000024268",25172,26921,37728,19987,29007,27900
"ENSMUSG00000024269",1667,2089,3020,1516,2072,2235
"ENSMUSG00000024270",2337,2745,3819,1735,2541,2943
"ENSMUSG00000024271",2653,3320,4165,2112,2892,3089
"ENSMUSG00000024273",63,121,134,69,91,114
"ENSMUSG00000024274",18,23,31,8,15,18
"ENSMUSG00000024276",1871,2218,3055,1729,2126,2574
"ENSMUSG00000024277",17833,20971,27542,13789,18385,20949
"ENSMUSG00000024283",1919,2181,2974,1556,2054,2128
"ENSMUSG00000024286",5517,5937,8509,4486,6010,7032
"ENSMUSG00000024287",3159,3638,4497,2746,3261,3097
"ENSMUSG00000024290",1296,1364,2025,1190,1585,1685
"ENSMUSG00000024292",273,312,460,329,517,401
"ENSMUSG00000024293",856,853,1492,787,1094,1170
"ENSMUSG00000024294",9680,11124,16202,8837,11901,13454
"ENSMUSG00000024295",7,5,8,4,21,13
"ENSMUSG00000024298",1787,1904,2728,1423,1852,2486
"ENSMUSG00000024299",922,1193,1218,798,955,1063
"ENSMUSG00000024300",129,128,218,86,151,106
"ENSMUSG00000024301",21,20,28,17,20,23
"ENSMUSG00000024302",5611,6462,9137,5203,7308,7973
"ENSMUSG00000024304",3007,3189,4257,2340,3144,3673
"ENSMUSG00000024306",2,1,3,3,3,4
"ENSMUSG00000024308",1191,1449,1876,971,1432,1333
"ENSMUSG00000024309",639,921,1171,560,851,847
"ENSMUSG00000024312",254,304,426,205,327,311
"ENSMUSG00000024313",0,1,1,1,1,0
"ENSMUSG00000024317",503,545,840,426,557,615
"ENSMUSG00000024319",2526,2985,4372,2081,2816,2726
"ENSMUSG00000024325",1336,1641,1547,1076,1484,1385
"ENSMUSG00000024327",277,464,590,290,471,421
"ENSMUSG00000024330",815,926,1240,605,865,828
"ENSMUSG00000024331",30,31,39,40,31,25
"ENSMUSG00000024334",9,14,10,9,8,10
"ENSMUSG00000024335",8715,11042,15305,7865,11557,10610
"ENSMUSG00000024338",77,107,179,73,109,81
"ENSMUSG00000024339",390,468,592,249,476,413
"ENSMUSG00000024340",6,0,22,1,1,1
"ENSMUSG00000024346",1348,1809,2548,1225,1883,1768
"ENSMUSG00000024347",2834,3028,4756,2344,3784,3169
"ENSMUSG00000024349",186,225,248,134,260,176
"ENSMUSG00000024350",4976,6218,8067,4308,6008,6023
"ENSMUSG00000024352",103,137,198,76,109,105
"ENSMUSG00000024353",3,5,4,10,5,3
"ENSMUSG00000024354",25,25,18,9,11,19
"ENSMUSG00000024357",648,902,1150,617,930,855
"ENSMUSG00000024359",3952,5211,6834,3450,4841,4823
"ENSMUSG00000024360",3455,4387,5982,2841,4002,4564
"ENSMUSG00000024365",0,0,0,0,0,1
"ENSMUSG00000024366",2,0,0,0,2,1
"ENSMUSG00000024369",390,461,597,341,547,425
"ENSMUSG00000024370",1468,1682,2255,1280,1688,1688
"ENSMUSG00000024371",44,49,110,58,56,82
"ENSMUSG00000024376",117,145,301,122,218,195
"ENSMUSG00000024378",1664,1779,3051,1557,2480,2716
"ENSMUSG00000024379",6,8,9,4,13,8
"ENSMUSG00000024381",8145,10056,13582,7105,11080,9255
"ENSMUSG00000024382",914,1176,1401,755,986,1033
"ENSMUSG00000024383",2255,2561,3699,1957,2253,3077
"ENSMUSG00000024384",2342,2570,3361,1800,2143,2761
"ENSMUSG00000024386",0,0,2,0,0,0
"ENSMUSG00000024387",2114,2723,3449,1604,2535,2549
"ENSMUSG00000024388",0,4,3,2,7,13
"ENSMUSG00000024391",4,10,5,5,3,1
"ENSMUSG00000024392",8100,10032,13029,6802,9370,9171
"ENSMUSG00000024393",24240,27657,38345,20287,29830,28876
"ENSMUSG00000024395",415,475,757,438,820,469
"ENSMUSG00000024397",85,139,353,84,170,122
"ENSMUSG00000024399",20,11,32,10,25,13
"ENSMUSG00000024400",2519,3147,4300,2332,3060,3112
"ENSMUSG00000024401",3,4,2,1,3,1
"ENSMUSG00000024402",6,5,44,1,5,3
"ENSMUSG00000024403",18048,23343,32271,14758,22437,20397
"ENSMUSG00000024404",3349,4169,5717,2778,3899,4293
"ENSMUSG00000024406",1,0,1,0,0,0
"ENSMUSG00000024409",8,17,7,6,5,14
"ENSMUSG00000024410",762,862,1181,626,815,824
"ENSMUSG00000024411",9910,9859,18928,4724,7042,6541
"ENSMUSG00000024413",2907,3185,5932,2797,4910,4141
"ENSMUSG00000024414",189,252,346,172,283,283
"ENSMUSG00000024420",416,417,812,354,622,597
"ENSMUSG00000024421",211,242,450,243,325,360
"ENSMUSG00000024422",839,1167,1455,836,1036,1169
"ENSMUSG00000024423",11944,14391,18472,10227,12892,12632
"ENSMUSG00000024424",573,614,870,448,469,729
"ENSMUSG00000024425",12328,14703,19245,8948,12560,14042
"ENSMUSG00000024426",1851,2277,2525,1209,2047,1959
"ENSMUSG00000024427",971,1488,1934,888,1427,1522
"ENSMUSG00000024429",8140,10007,14907,7228,10589,9418
"ENSMUSG00000024430",836,1159,1210,639,858,810
"ENSMUSG00000024431",7337,8051,11746,5909,8407,8724
"ENSMUSG00000024436",145,219,253,133,177,160
"ENSMUSG00000024437",95,98,125,71,121,89
"ENSMUSG00000024440",25,34,16,7,13,9
"ENSMUSG00000024442",1422,1745,2373,1289,1734,1592
"ENSMUSG00000024446",233,296,396,194,284,278
"ENSMUSG00000024448",0,0,0,0,0,0
"ENSMUSG00000024451",521,567,666,418,658,489
"ENSMUSG00000024454",2855,3576,4362,2439,3031,3145
"ENSMUSG00000024456",3583,3797,4897,2446,3795,4456
"ENSMUSG00000024457",814,1038,1299,678,1044,912
"ENSMUSG00000024459",74,96,72,60,62,67
"ENSMUSG00000024462",33156,40685,53167,27751,38950,38864
"ENSMUSG00000024471",3,3,2,0,1,3
"ENSMUSG00000024472",4194,4934,7018,3730,5121,5544
"ENSMUSG00000024474",2692,3440,4595,2355,3132,3140
"ENSMUSG00000024477",424,421,683,362,485,561
"ENSMUSG00000024479",9613,12260,15321,8358,11931,12228
"ENSMUSG00000024480",125,144,215,76,153,167
"ENSMUSG00000024481",1,1,4,0,3,2
"ENSMUSG00000024483",3268,3581,4853,2825,3271,4199
"ENSMUSG00000024485",4,1,7,3,6,10
"ENSMUSG00000024486",535,644,948,495,772,792
"ENSMUSG00000024487",858,998,1327,758,985,1021
"ENSMUSG00000024491",1704,1935,2686,1417,2014,2165
"ENSMUSG00000024493",2126,2429,3269,1581,2111,2265
"ENSMUSG00000024497",2,3,3,0,0,1
"ENSMUSG00000024498",2695,3177,4121,2281,2917,3089
"ENSMUSG00000024500",6199,6946,10066,4785,6440,7086
"ENSMUSG00000024501",2310,2510,3559,1938,2576,2448
"ENSMUSG00000024502",2155,2471,3348,1709,2130,2771
"ENSMUSG00000024503",0,0,0,0,0,0
"ENSMUSG00000024505",138,177,207,133,182,140
"ENSMUSG00000024507",1653,1892,2667,1495,2101,1969
"ENSMUSG00000024510",0,0,0,0,0,0
"ENSMUSG00000024511",1743,1853,2753,1388,2273,1922
"ENSMUSG00000024512",0,0,0,0,1,2
"ENSMUSG00000024513",1046,1368,2043,1018,1588,1690
"ENSMUSG00000024515",1624,1881,2534,1314,1919,2104
"ENSMUSG00000024516",1351,1600,2301,1255,1857,1553
"ENSMUSG00000024517",567,622,555,354,314,246
"ENSMUSG00000024518",1,2,4,1,1,3
"ENSMUSG00000024519",1,1,2,1,2,4
"ENSMUSG00000024521",111,303,203,94,211,163
"ENSMUSG00000024524",8020,8632,14782,6341,10498,14118
"ENSMUSG00000024525",144,231,304,152,271,198
"ENSMUSG00000024526",75,110,122,62,77,86
"ENSMUSG00000024527",3399,3960,5658,2958,3990,4082
"ENSMUSG00000024528",357,464,589,370,475,480
"ENSMUSG00000024529",37,49,64,16,23,36
"ENSMUSG00000024530",1569,2006,2407,1119,1676,1881
"ENSMUSG00000024532",0,0,0,0,0,0
"ENSMUSG00000024533",10326,11966,16639,9360,12618,13019
"ENSMUSG00000024534",195,201,300,132,190,220
"ENSMUSG00000024535",511,659,877,459,645,601
"ENSMUSG00000024537",570,675,803,369,534,618
"ENSMUSG00000024538",68,49,70,51,69,58
"ENSMUSG00000024539",774,875,1196,683,830,984
"ENSMUSG00000024542",479,574,736,418,485,641
"ENSMUSG00000024544",1529,1613,2397,1219,1843,1711
"ENSMUSG00000024546",1,0,1,1,0,1
"ENSMUSG00000024548",2387,2681,3707,2374,2600,2794
"ENSMUSG00000024552",8,11,7,12,18,11
"ENSMUSG00000024553",8,2,13,7,5,8
"ENSMUSG00000024556",604,668,1043,579,723,852
"ENSMUSG00000024558",4555,4975,7414,4453,4781,6374
"ENSMUSG00000024560",1980,2355,3107,1603,2291,2393
"ENSMUSG00000024561",1119,1356,1842,980,1161,1467
"ENSMUSG00000024563",1115,1298,1754,854,1163,1303
"ENSMUSG00000024565",280,377,527,368,597,498
"ENSMUSG00000024566",3754,4408,5388,3149,3668,3885
"ENSMUSG00000024570",967,1208,1563,878,1226,1033
"ENSMUSG00000024571",3887,4335,6155,3083,4418,4385
"ENSMUSG00000024575",6,5,6,2,5,9
"ENSMUSG00000024576",12372,15005,20277,10917,13744,15413
"ENSMUSG00000024578",6,24,18,15,20,11
"ENSMUSG00000024579",993,1048,1546,748,1076,1069
"ENSMUSG00000024580",567,742,1067,554,736,717
"ENSMUSG00000024581",8729,9924,13557,7028,9415,9940
"ENSMUSG00000024583",2633,3180,4455,2225,3130,3277
"ENSMUSG00000024587",7682,9490,12635,6313,9174,9268
"ENSMUSG00000024588",2629,2848,4222,2200,2998,3140
"ENSMUSG00000024589",6806,7155,10290,4994,6913,8633
"ENSMUSG00000024590",329,368,553,328,403,363
"ENSMUSG00000024592",436,435,648,342,565,494
"ENSMUSG00000024593",1355,1552,2906,1626,2511,2002
"ENSMUSG00000024594",1234,1294,1842,857,1284,1162
"ENSMUSG00000024597",3370,3651,6465,3747,5642,4423
"ENSMUSG00000024598",131,135,158,130,153,119
"ENSMUSG00000024600",8,14,8,4,14,8
"ENSMUSG00000024601",662,832,1141,593,1020,813
"ENSMUSG00000024603",4494,5204,7812,3875,5437,5314
"ENSMUSG00000024604",1490,1954,2423,1260,1738,1744
"ENSMUSG00000024608",119,206,207,117,180,172
"ENSMUSG00000024610",224,261,618,152,185,517
"ENSMUSG00000024613",1588,1755,2235,1223,1717,1853
"ENSMUSG00000024614",3303,3595,5272,3033,3782,3878
"ENSMUSG00000024617",183342,215040,279607,159814,255229,220935
"ENSMUSG00000024619",0,0,0,1,1,0
"ENSMUSG00000024620",1371,1710,2115,1077,1859,1211
"ENSMUSG00000024621",4211,4979,6525,3783,6239,5248
"ENSMUSG00000024622",2149,2617,3465,1787,2450,2716
"ENSMUSG00000024639",11993,13257,18095,9247,12838,14374
"ENSMUSG00000024640",3036,4250,6586,4222,6499,4372
"ENSMUSG00000024642",2837,3255,4547,2416,3461,3226
"ENSMUSG00000024644",1581,1860,2556,1431,1911,1849
"ENSMUSG00000024645",271,244,369,242,307,262
"ENSMUSG00000024646",1178,1581,2308,1200,1856,1558
"ENSMUSG00000024647",1473,1840,3272,1649,2914,2043
"ENSMUSG00000024650",485,524,764,310,351,685
"ENSMUSG00000024653",0,0,0,0,0,0
"ENSMUSG00000024654",8304,9453,14570,7772,12392,10274
"ENSMUSG00000024658",7,6,17,7,11,17
"ENSMUSG00000024659",41,34,62,36,24,55
"ENSMUSG00000024660",891,1134,1447,735,1058,1033
"ENSMUSG00000024661",36519,40871,63012,29309,65336,46894
"ENSMUSG00000024663",410,512,666,331,534,427
"ENSMUSG00000024664",1753,2082,2586,1342,1807,1564
"ENSMUSG00000024665",3219,3166,5511,2842,4787,4174
"ENSMUSG00000024666",390,425,501,286,403,374
"ENSMUSG00000024667",244,311,390,249,269,233
"ENSMUSG00000024668",1588,1890,2697,1383,2061,1979
"ENSMUSG00000024669",11,9,17,6,7,11
"ENSMUSG00000024670",398,445,273,191,491,307
"ENSMUSG00000024672",14,12,32,15,11,10
"ENSMUSG00000024673",3,5,0,1,1,0
"ENSMUSG00000024675",0,2,2,0,4,0
"ENSMUSG00000024677",46,21,68,27,33,60
"ENSMUSG00000024678",2,1,0,1,2,2
"ENSMUSG00000024679",26,42,61,36,44,51
"ENSMUSG00000024680",0,1,0,0,1,0
"ENSMUSG00000024681",2,0,0,0,0,1
"ENSMUSG00000024682",3,0,5,0,0,4
"ENSMUSG00000024683",1027,1205,1561,762,1021,1190
"ENSMUSG00000024687",3508,4268,5917,2929,4307,4276
"ENSMUSG00000024691",80,136,180,88,102,97
"ENSMUSG00000024694",0,0,0,0,0,1
"ENSMUSG00000024695",6612,7988,10687,6133,8914,7908
"ENSMUSG00000024696",62,66,108,41,67,61
"ENSMUSG00000024697",9,21,17,6,10,9
"ENSMUSG00000024712",2308,2830,3832,2009,2961,2837
"ENSMUSG00000024713",621,584,1038,450,583,615
"ENSMUSG00000024725",290,394,507,318,424,385
"ENSMUSG00000024726",7,12,19,7,20,20
"ENSMUSG00000024727",48,44,65,38,37,50
"ENSMUSG00000024728",0,0,0,0,0,0
"ENSMUSG00000024729",0,0,0,0,0,0
"ENSMUSG00000024730",0,0,0,0,1,1
"ENSMUSG00000024731",0,0,0,0,0,0
"ENSMUSG00000024732",342,463,600,301,424,410
"ENSMUSG00000024734",1,3,0,1,1,1
"ENSMUSG00000024735",3739,4846,6374,3080,4367,4525
"ENSMUSG00000024736",7785,9962,11434,6410,8040,7459
"ENSMUSG00000024737",79,93,118,44,71,57
"ENSMUSG00000024738",0,0,0,0,0,1
"ENSMUSG00000024740",9956,12197,16109,8721,11884,11856
"ENSMUSG00000024742",31,47,61,31,46,41
"ENSMUSG00000024743",21543,25094,32530,18587,25579,24560
"ENSMUSG00000024747",17,16,46,28,57,26
"ENSMUSG00000024749",36,28,62,32,35,56
"ENSMUSG00000024750",1894,2403,3591,1783,2541,2644
"ENSMUSG00000024754",882,945,1295,742,748,1008
"ENSMUSG00000024757",0,0,1,1,0,1
"ENSMUSG00000024758",58854,68871,100019,49295,67559,70948
"ENSMUSG00000024759",2126,2356,3423,1926,2495,2623
"ENSMUSG00000024761",418,619,849,373,539,567
"ENSMUSG00000024764",1840,2312,2967,1413,1812,2044
"ENSMUSG00000024766",98,107,159,47,76,111
"ENSMUSG00000024767",8133,9460,12688,6190,9409,9226
"ENSMUSG00000024768",1,0,0,0,0,1
"ENSMUSG00000024769",246,288,383,215,320,341
"ENSMUSG00000024770",0,0,2,0,0,0
"ENSMUSG00000024771",0,0,0,0,1,0
"ENSMUSG00000024772",1680,1898,2924,1397,2244,2170
"ENSMUSG00000024773",3090,3441,4504,2480,3328,3323
"ENSMUSG00000024774",1,0,0,2,2,5
"ENSMUSG00000024776",675,943,1215,508,738,863
"ENSMUSG00000024777",5492,6510,9289,4635,6579,6336
"ENSMUSG00000024778",54,79,118,100,109,114
"ENSMUSG00000024780",2616,3202,4947,2811,3753,3991
"ENSMUSG00000024781",813,1025,1428,1130,1549,1223
"ENSMUSG00000024782",4166,4931,6996,4322,5807,5903
"ENSMUSG00000024784",1,3,4,2,2,2
"ENSMUSG00000024785",561,663,954,454,621,692
"ENSMUSG00000024786",0,0,3,3,1,2
"ENSMUSG00000024787",1020,1233,1674,823,1147,1110
"ENSMUSG00000024789",2326,2946,3809,2159,2979,3414
"ENSMUSG00000024790",745,864,1144,572,753,810
"ENSMUSG00000024791",2,4,8,1,9,3
"ENSMUSG00000024792",523,683,756,433,601,571
"ENSMUSG00000024793",306,588,856,327,482,856
"ENSMUSG00000024795",34,37,53,23,35,32
"ENSMUSG00000024797",1930,2377,2736,1504,1947,2003
"ENSMUSG00000024798",653,683,835,573,735,587
"ENSMUSG00000024799",586,699,824,419,556,539
"ENSMUSG00000024800",223,306,428,232,291,289
"ENSMUSG00000024803",3,3,5,1,0,1
"ENSMUSG00000024805",287,366,505,220,355,367
"ENSMUSG00000024806",4,1,2,0,5,4
"ENSMUSG00000024807",2485,2848,3792,1896,2719,3061
"ENSMUSG00000024810",2084,2132,4528,1904,3221,2098
"ENSMUSG00000024811",7919,8830,12237,6552,8936,9634
"ENSMUSG00000024812",1453,1604,2688,1250,2081,1567
"ENSMUSG00000024815",0,0,0,0,0,0
"ENSMUSG00000024816",989,986,1707,826,1536,1129
"ENSMUSG00000024817",2065,2295,2881,1675,2077,2470
"ENSMUSG00000024818",134,186,294,172,240,172
"ENSMUSG00000024824",360,428,553,321,381,399
"ENSMUSG00000024826",1107,1443,1826,994,1383,1578
"ENSMUSG00000024827",1048,1266,1695,974,1545,1226
"ENSMUSG00000024829",116,216,235,128,154,175
"ENSMUSG00000024830",952,1289,1347,784,976,1021
"ENSMUSG00000024831",543,668,906,428,621,552
"ENSMUSG00000024833",217,249,271,164,236,245
"ENSMUSG00000024835",1890,2538,3286,1649,2442,2180
"ENSMUSG00000024837",0,1,0,0,0,0
"ENSMUSG00000024841",954,1313,1713,851,1252,1264
"ENSMUSG00000024842",8,10,23,11,16,24
"ENSMUSG00000024843",3510,3935,5115,2870,3525,5032
"ENSMUSG00000024844",1292,1587,2013,1065,1552,1401
"ENSMUSG00000024845",727,834,1005,582,884,741
"ENSMUSG00000024846",129,207,216,142,192,151
"ENSMUSG00000024847",2542,3363,4355,2188,3474,2885
"ENSMUSG00000024851",9256,10827,13793,7385,10943,10340
"ENSMUSG00000024853",9173,11249,14548,7354,10249,10204
"ENSMUSG00000024854",254,318,409,237,343,262
"ENSMUSG00000024855",4945,5537,7177,3501,5308,5140
"ENSMUSG00000024856",727,829,1153,594,819,859
"ENSMUSG00000024857",0,0,0,0,1,0
"ENSMUSG00000024858",10109,12132,15744,8887,13461,11057
"ENSMUSG00000024862",10626,13567,18572,9264,14681,13814
"ENSMUSG00000024863",3,8,2,1,2,1
"ENSMUSG00000024866",55,79,114,57,84,84
"ENSMUSG00000024867",809,845,1251,651,846,896
"ENSMUSG00000024868",0,0,3,0,0,1
"ENSMUSG00000024869",293,265,317,222,314,302
"ENSMUSG00000024870",7211,8059,11117,5928,8314,8018
"ENSMUSG00000024871",67,83,122,54,80,93
"ENSMUSG00000024873",6518,7091,10342,5429,9079,8775
"ENSMUSG00000024875",396,514,695,420,545,410
"ENSMUSG00000024878",326,386,532,219,373,401
"ENSMUSG00000024883",3197,3856,4645,2779,3661,3767
"ENSMUSG00000024885",150,119,181,87,182,190
"ENSMUSG00000024887",716,765,1236,611,966,850
"ENSMUSG00000024889",742,936,1230,614,854,910
"ENSMUSG00000024891",606,733,1002,552,738,720
"ENSMUSG00000024892",3893,4636,6147,3689,5167,4668
"ENSMUSG00000024896",1010,1304,1709,839,1176,1156
"ENSMUSG00000024897",13664,15866,22801,12967,17329,15183
"ENSMUSG00000024899",606,619,1092,554,798,716
"ENSMUSG00000024900",1049,1286,1975,1394,2080,1373
"ENSMUSG00000024901",1121,1276,1879,922,1366,1287
"ENSMUSG00000024902",1075,1289,1672,892,1240,1246
"ENSMUSG00000024903",3,2,4,1,4,8
"ENSMUSG00000024905",11,5,12,7,10,11
"ENSMUSG00000024906",548,663,785,442,502,555
"ENSMUSG00000024907",1,1,5,1,3,1
"ENSMUSG00000024908",4076,4275,5645,3177,4242,4465
"ENSMUSG00000024909",225,209,306,163,269,229
"ENSMUSG00000024910",10,16,14,7,11,9
"ENSMUSG00000024911",1075,1392,1749,932,1324,1186
"ENSMUSG00000024912",207,213,308,168,287,298
"ENSMUSG00000024913",446,534,826,479,773,678
"ENSMUSG00000024914",1658,2013,2890,1497,2634,2261
"ENSMUSG00000024921",12319,14382,18536,9722,13567,13613
"ENSMUSG00000024922",57,46,87,27,99,55
"ENSMUSG00000024924",4419,4724,6441,3827,4645,4842
"ENSMUSG00000024925",242,346,457,237,384,325
"ENSMUSG00000024926",1586,1913,2388,1270,1750,1756
"ENSMUSG00000024927",1155,1492,1892,964,1468,1230
"ENSMUSG00000024935",3959,4913,6381,3288,4649,4776
"ENSMUSG00000024936",8,11,3,0,4,8
"ENSMUSG00000024937",1057,1608,2201,971,1076,1351
"ENSMUSG00000024939",5,7,16,8,9,8
"ENSMUSG00000024940",2088,2363,2951,1468,1994,2300
"ENSMUSG00000024941",2843,3527,4487,2462,3352,3342
"ENSMUSG00000024942",1047,1187,1639,806,1388,1245
"ENSMUSG00000024943",1369,1636,2207,1177,1451,1647
"ENSMUSG00000024944",1671,2142,3009,1583,2372,2059
"ENSMUSG00000024947",2148,2745,3700,2013,2734,2787
"ENSMUSG00000024948",2644,2956,3647,2114,3249,2894
"ENSMUSG00000024949",6367,8014,10028,5071,6689,7630
"ENSMUSG00000024952",2011,2234,2849,1649,2830,2164
"ENSMUSG00000024953",4002,5051,6899,3695,5219,5158
"ENSMUSG00000024955",2027,2687,3800,1977,2939,2859
"ENSMUSG00000024957",791,939,1165,721,966,834
"ENSMUSG00000024958",3133,4143,5314,3005,4481,3994
"ENSMUSG00000024959",670,766,1031,550,931,811
"ENSMUSG00000024960",685,831,1314,789,1077,956
"ENSMUSG00000024962",2271,2640,3803,1701,3315,2643
"ENSMUSG00000024963",556,657,926,444,546,570
"ENSMUSG00000024965",191,227,319,183,238,237
"ENSMUSG00000024966",4776,6203,8346,4286,5877,7032
"ENSMUSG00000024968",548,684,892,434,639,616
"ENSMUSG00000024969",4957,5417,7185,3876,5727,5672
"ENSMUSG00000024970",1127,1241,1775,932,1230,1366
"ENSMUSG00000024972",47,57,64,30,51,64
"ENSMUSG00000024973",0,1,1,1,1,2
"ENSMUSG00000024974",1835,2082,2962,1467,2083,2330
"ENSMUSG00000024975",2824,3292,4398,2209,2980,3312
"ENSMUSG00000024976",2575,2921,4078,2098,2675,3166
"ENSMUSG00000024978",2026,2267,3582,1754,2896,2389
"ENSMUSG00000024979",33,44,71,30,57,45
"ENSMUSG00000024981",3127,4190,5208,2696,3643,3522
"ENSMUSG00000024982",410,501,654,363,489,552
"ENSMUSG00000024983",3648,4390,5195,3155,4743,4114
"ENSMUSG00000024985",211,247,329,152,256,244
"ENSMUSG00000024986",90,119,109,78,150,72
"ENSMUSG00000024987",1,1,8,1,8,10
"ENSMUSG00000024989",5,9,8,13,8,12
"ENSMUSG00000024990",398,562,838,475,625,503
"ENSMUSG00000024991",5944,7211,10023,4922,6805,7738
"ENSMUSG00000024992",5,9,12,4,8,9
"ENSMUSG00000024993",1430,1598,2061,1340,1894,1545
"ENSMUSG00000024997",1953,2494,3267,1725,2534,2220
"ENSMUSG00000024998",366,346,613,312,434,515
"ENSMUSG00000024999",551,665,983,480,639,770
