"","WT 1","WT 2","WT 3","KO 1","KO 2","KO 3"
"ENSMUSG00000022589",0,0,0,0,0,0
"ENSMUSG00000022594",9,5,7,49,39,9
"ENSMUSG00000022595",0,0,0,0,0,0
"ENSMUSG00000022596",0,0,0,0,0,0
"ENSMUSG00000022598",0,0,0,0,0,0
"ENSMUSG00000022601",6,2,4,13,26,5
"ENSMUSG00000022602",14,16,7,37,22,13
"ENSMUSG00000022603",0,0,0,0,0,0
"ENSMUSG00000022604",3,1,0,1,3,1
"ENSMUSG00000022607",8,9,3,23,21,4
"ENSMUSG00000022610",0,2,1,2,0,1
"ENSMUSG00000022613",0,0,0,0,0,0
"ENSMUSG00000022614",0,1,0,1,1,0
"ENSMUSG00000022615",1,1,1,2,0,1
"ENSMUSG00000022617",0,1,0,2,0,1
"ENSMUSG00000022619",16,5,9,36,35,9
"ENSMUSG00000022620",6,5,0,8,2,4
"ENSMUSG00000022621",0,0,0,1,3,0
"ENSMUSG00000022622",1,0,0,0,0,0
"ENSMUSG00000022623",1,8,4,22,13,10
"ENSMUSG00000022629",14,9,6,52,48,9
"ENSMUSG00000022634",2,1,1,8,14,5
"ENSMUSG00000022635",0,0,2,4,1,1
"ENSMUSG00000022636",12,6,7,20,20,13
"ENSMUSG00000022637",4,1,0,8,12,4
"ENSMUSG00000022639",0,0,0,0,0,0
"ENSMUSG00000022641",1,2,1,10,7,2
"ENSMUSG00000022650",0,0,0,0,0,0
"ENSMUSG00000022651",0,0,0,0,0,0
"ENSMUSG00000022652",0,0,0,0,0,0
"ENSMUSG00000022656",0,1,0,7,8,2
"ENSMUSG00000022657",0,0,0,0,0,0
"ENSMUSG00000022658",4,2,3,11,10,2
"ENSMUSG00000022659",0,0,0,0,1,0
"ENSMUSG00000022661",3,1,1,10,13,3
"ENSMUSG00000022663",1,1,0,4,7,0
"ENSMUSG00000022664",2,2,2,4,5,1
"ENSMUSG00000022665",0,0,0,3,0,0
"ENSMUSG00000022667",0,0,1,0,0,0
"ENSMUSG00000022668",3,0,2,2,4,1
"ENSMUSG00000022671",2,1,3,2,0,0
"ENSMUSG00000022672",3,3,1,13,11,0
"ENSMUSG00000022673",0,0,0,3,0,0
"ENSMUSG00000022674",1,1,1,4,6,3
"ENSMUSG00000022676",0,0,0,0,0,0
"ENSMUSG00000022677",2,2,2,3,0,1
"ENSMUSG00000022678",0,1,0,1,1,0
"ENSMUSG00000022679",5,5,4,12,12,1
"ENSMUSG00000022680",3,5,1,10,7,5
"ENSMUSG00000022681",1,2,2,1,4,1
"ENSMUSG00000022682",3,2,2,18,10,3
"ENSMUSG00000022683",0,0,0,0,0,0
"ENSMUSG00000022684",0,1,0,3,2,2
"ENSMUSG00000022685",3,0,2,5,2,0
"ENSMUSG00000022686",0,0,0,1,0,0
"ENSMUSG00000022687",3,1,0,8,4,1
"ENSMUSG00000022696",1,3,0,13,5,3
"ENSMUSG00000022698",11,4,6,21,33,8
"ENSMUSG00000022701",0,0,0,0,2,0
"ENSMUSG00000022702",2,3,2,4,3,0
"ENSMUSG00000022704",0,1,0,2,0,0
"ENSMUSG00000022705",0,0,0,0,0,1
"ENSMUSG00000022706",2,0,2,1,0,0
"ENSMUSG00000022707",1,1,2,2,2,0
"ENSMUSG00000022708",10,19,10,21,25,11
"ENSMUSG00000022710",3,5,2,23,14,5
"ENSMUSG00000022711",0,0,0,4,2,0
"ENSMUSG00000022715",0,0,0,0,0,0
"ENSMUSG00000022718",0,0,1,4,3,0
"ENSMUSG00000022721",2,0,0,5,1,0
"ENSMUSG00000022722",1,3,0,0,4,2
"ENSMUSG00000022723",0,0,0,0,1,1
"ENSMUSG00000022724",0,0,0,0,0,1
"ENSMUSG00000022738",0,0,0,0,0,1
"ENSMUSG00000022742",5,3,1,10,4,1
"ENSMUSG00000022744",2,3,2,4,5,2
"ENSMUSG00000022747",0,2,1,2,1,0
"ENSMUSG00000022748",0,1,0,1,0,0
"ENSMUSG00000022749",2,2,1,10,2,1
"ENSMUSG00000022750",3,2,1,10,6,3
"ENSMUSG00000022751",0,0,0,2,1,0
"ENSMUSG00000022752",5,7,3,36,22,12
"ENSMUSG00000022753",0,0,0,0,0,0
"ENSMUSG00000022754",1,1,0,0,0,0
"ENSMUSG00000022755",0,0,0,0,0,0
"ENSMUSG00000022756",4,2,5,6,5,0
"ENSMUSG00000022757",1,4,1,7,6,2
"ENSMUSG00000022758",0,0,1,0,0,0
"ENSMUSG00000022759",0,0,0,1,0,0
"ENSMUSG00000022760",1,1,1,1,1,3
"ENSMUSG00000022761",5,6,5,18,8,6
"ENSMUSG00000022762",1,1,2,7,14,5
"ENSMUSG00000022763",1,3,1,7,10,3
"ENSMUSG00000022765",2,3,0,7,3,0
"ENSMUSG00000022766",1,0,0,0,0,0
"ENSMUSG00000022768",0,0,1,0,0,0
"ENSMUSG00000022769",0,1,0,0,0,1
"ENSMUSG00000022770",11,11,5,33,33,5
"ENSMUSG00000022771",1,2,3,2,2,1
"ENSMUSG00000022772",1,2,0,9,2,1
"ENSMUSG00000022773",4,0,0,4,3,0
"ENSMUSG00000022774",0,5,0,2,3,1
"ENSMUSG00000022779",1,1,1,2,7,2
"ENSMUSG00000022780",0,0,0,1,0,0
"ENSMUSG00000022781",3,6,6,11,9,3
"ENSMUSG00000022783",0,0,1,1,0,0
"ENSMUSG00000022787",0,0,0,1,3,2
"ENSMUSG00000022788",5,4,0,9,10,1
"ENSMUSG00000022789",11,11,2,39,28,11
"ENSMUSG00000022790",1,1,0,2,4,1
"ENSMUSG00000022791",9,3,5,13,10,7
"ENSMUSG00000022792",2,0,0,2,5,0
"ENSMUSG00000022793",1,2,1,1,2,1
"ENSMUSG00000022797",10,6,4,18,14,1
"ENSMUSG00000022798",0,0,0,0,0,0
"ENSMUSG00000022799",2,1,0,5,4,0
"ENSMUSG00000022800",4,2,2,12,7,0
"ENSMUSG00000022801",7,3,0,9,6,2
"ENSMUSG00000022802",0,2,2,1,3,0
"ENSMUSG00000022803",0,0,0,0,0,0
"ENSMUSG00000022805",0,0,0,0,0,0
"ENSMUSG00000022807",2,0,2,4,4,1
"ENSMUSG00000022808",0,0,0,2,0,0
"ENSMUSG00000022809",1,0,0,1,0,0
"ENSMUSG00000022811",3,3,3,16,8,4
"ENSMUSG00000022812",32,22,19,105,80,25
"ENSMUSG00000022814",0,0,0,4,2,1
"ENSMUSG00000022816",3,4,5,9,4,3
"ENSMUSG00000022817",1,3,1,6,4,2
"ENSMUSG00000022818",0,0,0,0,0,0
"ENSMUSG00000022820",0,1,0,0,1,0
"ENSMUSG00000022821",0,0,0,0,0,0
"ENSMUSG00000022822",15,12,5,23,20,2
"ENSMUSG00000022824",0,0,0,0,0,0
"ENSMUSG00000022827",0,1,0,1,0,0
"ENSMUSG00000022828",3,1,1,3,3,1
"ENSMUSG00000022829",13,13,6,27,29,8
"ENSMUSG00000022831",0,0,0,0,0,0
"ENSMUSG00000022832",0,0,0,1,0,0
"ENSMUSG00000022833",0,2,0,0,0,0
"ENSMUSG00000022836",1,0,2,1,3,0
"ENSMUSG00000022837",1,3,1,2,1,0
"ENSMUSG00000022838",0,1,0,0,1,0
"ENSMUSG00000022840",7,7,4,11,13,10
"ENSMUSG00000022841",0,3,0,10,5,0
"ENSMUSG00000022842",0,3,0,1,1,1
"ENSMUSG00000022843",5,3,2,10,5,3
"ENSMUSG00000022844",0,3,0,1,0,0
"ENSMUSG00000022847",0,0,0,1,1,0
"ENSMUSG00000022848",5,4,0,15,9,2
"ENSMUSG00000022849",1,1,0,0,0,0
"ENSMUSG00000022853",0,0,0,0,0,0
"ENSMUSG00000022855",5,3,3,9,8,3
"ENSMUSG00000022856",2,1,0,1,1,1
"ENSMUSG00000022857",0,0,0,0,0,0
"ENSMUSG00000022858",1,0,0,1,1,0
"ENSMUSG00000022860",0,0,0,0,0,0
"ENSMUSG00000022861",2,1,2,7,3,1
"ENSMUSG00000022863",0,0,0,0,0,0
"ENSMUSG00000022864",5,1,4,5,1,5
"ENSMUSG00000022865",3,2,2,13,6,1
"ENSMUSG00000022867",4,3,1,5,9,4
"ENSMUSG00000022868",0,0,0,0,0,0
"ENSMUSG00000022871",0,0,0,0,0,0
"ENSMUSG00000022875",0,0,0,0,0,0
"ENSMUSG00000022876",0,0,0,0,0,0
"ENSMUSG00000022877",0,0,0,0,0,0
"ENSMUSG00000022878",0,0,0,1,0,0
"ENSMUSG00000022881",0,0,0,0,0,0
"ENSMUSG00000022883",3,3,2,10,11,0
"ENSMUSG00000022884",6,10,9,13,16,9
"ENSMUSG00000022885",2,0,0,0,3,2
"ENSMUSG00000022886",0,0,0,0,0,0
"ENSMUSG00000022887",0,0,1,2,3,0
"ENSMUSG00000022889",0,2,2,2,4,0
"ENSMUSG00000022890",2,1,0,2,5,2
"ENSMUSG00000022892",37,52,21,140,129,34
"ENSMUSG00000022893",0,0,2,3,2,1
"ENSMUSG00000022894",0,2,1,1,0,1
"ENSMUSG00000022895",5,7,2,9,12,4
"ENSMUSG00000022897",6,6,5,22,20,9
"ENSMUSG00000022898",1,1,2,2,4,3
"ENSMUSG00000022899",0,0,0,1,3,3
"ENSMUSG00000022900",0,0,0,0,0,0
"ENSMUSG00000022901",0,0,0,1,0,0
"ENSMUSG00000022902",0,0,0,0,0,0
"ENSMUSG00000022905",18,10,8,44,30,8
"ENSMUSG00000022906",1,1,0,1,1,0
"ENSMUSG00000022911",0,0,1,1,4,1
"ENSMUSG00000022912",1,1,2,1,0,1
"ENSMUSG00000022913",0,0,2,1,0,0
"ENSMUSG00000022914",9,9,4,22,12,2
"ENSMUSG00000022915",0,1,0,0,0,0
"ENSMUSG00000022931",0,0,0,0,0,0
"ENSMUSG00000022935",0,0,1,3,1,0
"ENSMUSG00000022938",0,0,0,0,0,0
"ENSMUSG00000022940",1,1,1,0,0,1
"ENSMUSG00000022941",0,0,0,0,0,0
"ENSMUSG00000022945",1,0,0,0,0,0
"ENSMUSG00000022946",3,5,3,13,23,9
"ENSMUSG00000022947",0,0,0,0,1,0
"ENSMUSG00000022948",1,1,1,0,0,0
"ENSMUSG00000022949",0,0,0,1,0,0
"ENSMUSG00000022951",1,2,2,6,3,2
"ENSMUSG00000022952",1,0,0,0,0,1
"ENSMUSG00000022956",0,0,3,3,2,1
"ENSMUSG00000022957",3,8,6,27,19,8
"ENSMUSG00000022960",0,2,1,2,3,3
"ENSMUSG00000022961",28,25,13,78,79,22
"ENSMUSG00000022962",1,0,0,3,0,0
"ENSMUSG00000022964",6,4,1,23,13,4
"ENSMUSG00000022965",0,4,1,6,5,0
"ENSMUSG00000022967",1,2,1,6,6,7
"ENSMUSG00000022969",0,0,1,0,0,0
"ENSMUSG00000022971",0,1,1,1,3,1
"ENSMUSG00000022972",2,0,0,4,0,0
"ENSMUSG00000022973",31,28,29,103,110,26
"ENSMUSG00000022974",1,1,1,3,2,0
"ENSMUSG00000022978",0,0,1,0,0,1
"ENSMUSG00000022982",1,3,1,6,0,1
"ENSMUSG00000022983",2,1,3,5,7,2
"ENSMUSG00000022986",0,0,0,0,0,0
"ENSMUSG00000022987",0,2,1,1,1,0
"ENSMUSG00000022991",0,0,0,0,0,0
"ENSMUSG00000022992",0,1,0,1,0,1
"ENSMUSG00000022993",0,0,0,0,0,0
"ENSMUSG00000022994",3,1,2,15,14,2
"ENSMUSG00000022995",3,2,1,9,14,1
"ENSMUSG00000022996",1,1,0,0,0,1
"ENSMUSG00000022997",0,0,0,0,0,0
"ENSMUSG00000022999",0,0,1,0,1,1
"ENSMUSG00000023000",0,0,0,0,0,0
"ENSMUSG00000023004",1,0,0,8,5,0
"ENSMUSG00000023007",0,0,0,1,4,2
"ENSMUSG00000023008",0,2,4,3,0,3
"ENSMUSG00000023009",0,0,0,1,0,0
"ENSMUSG00000023010",3,4,2,16,10,3
"ENSMUSG00000023011",23,13,12,58,41,15
"ENSMUSG00000023013",0,0,0,0,0,0
"ENSMUSG00000023015",0,0,0,4,1,2
"ENSMUSG00000023017",2,2,1,9,5,2
"ENSMUSG00000023018",9,4,2,12,8,2
"ENSMUSG00000023019",1,3,1,6,6,2
"ENSMUSG00000023020",2,3,0,4,6,1
"ENSMUSG00000023021",3,2,2,4,3,0
"ENSMUSG00000023022",0,0,1,1,1,0
"ENSMUSG00000023025",1,1,0,1,4,0
"ENSMUSG00000023026",12,13,7,41,31,13
"ENSMUSG00000023027",0,0,1,1,1,0
"ENSMUSG00000023030",5,2,0,2,3,1
"ENSMUSG00000023031",0,1,0,0,0,0
"ENSMUSG00000023032",8,5,1,18,34,4
"ENSMUSG00000023033",35,26,25,91,92,27
"ENSMUSG00000023034",19,14,6,29,14,5
"ENSMUSG00000023036",20,22,8,60,51,20
"ENSMUSG00000023039",0,0,0,0,0,0
"ENSMUSG00000023041",0,0,0,0,0,0
"ENSMUSG00000023043",0,0,0,0,0,0
"ENSMUSG00000023044",2,0,0,1,2,1
"ENSMUSG00000023045",0,0,0,0,0,0
"ENSMUSG00000023046",2,2,0,3,5,5
"ENSMUSG00000023047",0,0,0,3,0,0
"ENSMUSG00000023048",2,1,1,5,3,1
"ENSMUSG00000023050",45,40,22,56,55,29
"ENSMUSG00000023051",0,0,0,0,1,0
"ENSMUSG00000023052",0,0,0,0,0,0
"ENSMUSG00000023055",2,1,1,4,5,0
"ENSMUSG00000023057",0,0,0,0,0,0
"ENSMUSG00000023064",1,0,0,0,0,0
"ENSMUSG00000023066",1,0,0,2,0,2
"ENSMUSG00000023067",1,1,2,5,1,1
"ENSMUSG00000023068",3,4,2,7,9,6
"ENSMUSG00000023070",0,0,0,0,0,0
"ENSMUSG00000023072",0,1,0,0,0,0
"ENSMUSG00000023073",0,0,0,0,0,0
"ENSMUSG00000023074",0,2,0,1,0,0
"ENSMUSG00000023075",0,0,1,1,0,0
"ENSMUSG00000023078",0,0,0,0,0,0
"ENSMUSG00000023079",0,0,0,4,3,0
"ENSMUSG00000023083",0,0,0,0,0,0
"ENSMUSG00000023084",0,0,0,0,1,0
"ENSMUSG00000023087",5,4,2,10,16,4
"ENSMUSG00000023088",1,1,0,3,2,0
"ENSMUSG00000023089",0,1,0,2,2,0
"ENSMUSG00000023092",3,8,3,7,7,3
"ENSMUSG00000023093",0,0,0,0,0,0
"ENSMUSG00000023094",1,0,0,1,0,2
"ENSMUSG00000023104",0,0,1,4,2,0
"ENSMUSG00000023106",2,2,0,6,6,2
"ENSMUSG00000023110",4,1,0,7,4,1
"ENSMUSG00000023118",3,3,1,8,1,2
"ENSMUSG00000023120",0,0,0,0,0,0
"ENSMUSG00000023122",0,0,0,0,0,0
"ENSMUSG00000023132",0,0,0,0,0,0
"ENSMUSG00000023140",0,0,0,0,0,0
"ENSMUSG00000023143",1,1,0,3,1,0
"ENSMUSG00000023147",2,7,1,8,7,0
"ENSMUSG00000023150",5,7,3,12,10,9
"ENSMUSG00000023151",0,0,0,0,0,0
"ENSMUSG00000023153",0,0,0,0,0,0
"ENSMUSG00000023156",2,3,0,1,0,1
"ENSMUSG00000023159",0,0,0,0,0,0
"ENSMUSG00000023165",0,0,0,0,0,0
"ENSMUSG00000023169",12,7,4,47,31,12
"ENSMUSG00000023170",0,1,0,0,1,0
"ENSMUSG00000023175",19,13,13,39,40,12
"ENSMUSG00000023176",0,0,0,0,0,0
"ENSMUSG00000023185",0,0,0,0,0,0
"ENSMUSG00000023186",3,0,0,5,1,1
"ENSMUSG00000023191",2,0,0,2,2,1
"ENSMUSG00000023192",0,4,2,6,3,2
"ENSMUSG00000023206",0,0,0,2,1,0
"ENSMUSG00000023210",0,0,0,0,0,0
"ENSMUSG00000023216",0,0,0,0,0,0
"ENSMUSG00000023224",0,1,2,5,3,0
"ENSMUSG00000023232",0,1,0,1,0,0
"ENSMUSG00000023235",0,0,0,0,0,0
"ENSMUSG00000023236",10,11,2,24,21,11
"ENSMUSG00000023243",0,1,0,2,0,1
"ENSMUSG00000023247",0,0,0,0,0,0
"ENSMUSG00000023249",1,1,0,0,0,0
"ENSMUSG00000023257",0,0,0,0,0,0
"ENSMUSG00000023259",0,0,0,3,1,1
"ENSMUSG00000023262",0,0,1,2,4,0
"ENSMUSG00000023263",0,0,0,0,0,0
"ENSMUSG00000023266",0,0,0,1,0,2
"ENSMUSG00000023267",0,0,0,0,0,0
"ENSMUSG00000023272",1,3,0,1,1,1
"ENSMUSG00000023274",0,0,0,0,0,0
"ENSMUSG00000023277",3,1,0,7,5,2
"ENSMUSG00000023279",0,0,0,0,0,0
"ENSMUSG00000023284",0,0,1,4,3,1
"ENSMUSG00000023286",0,1,0,1,1,0
"ENSMUSG00000023289",0,0,0,0,0,0
"ENSMUSG00000023307",7,10,3,10,12,4
"ENSMUSG00000023328",3,2,3,11,4,2
"ENSMUSG00000023330",1,2,1,0,1,0
"ENSMUSG00000023333",0,0,0,0,0,0
"ENSMUSG00000023336",0,0,0,0,0,0
"ENSMUSG00000023341",0,0,0,0,0,0
"ENSMUSG00000023345",0,0,0,0,0,0
"ENSMUSG00000023348",0,1,1,4,3,0
"ENSMUSG00000023349",1,0,0,0,0,0
"ENSMUSG00000023350",0,0,0,0,0,0
"ENSMUSG00000023353",9,6,4,12,22,4
"ENSMUSG00000023367",0,0,0,2,2,1
"ENSMUSG00000023387",0,0,0,0,0,0
"ENSMUSG00000023391",0,0,0,0,1,0
"ENSMUSG00000023393",0,0,0,0,0,0
"ENSMUSG00000023403",0,0,0,0,0,0
"ENSMUSG00000023411",0,0,0,1,2,0
"ENSMUSG00000023433",0,0,0,0,0,0
"ENSMUSG00000023439",0,0,0,0,0,0
"ENSMUSG00000023443",0,0,0,0,0,0
"ENSMUSG00000023452",2,3,2,6,4,1
"ENSMUSG00000023456",0,5,2,10,3,4
"ENSMUSG00000023460",3,3,2,2,3,1
"ENSMUSG00000023467",0,0,0,0,1,0
"ENSMUSG00000023473",3,6,3,4,5,2
"ENSMUSG00000023484",0,0,0,0,0,0
"ENSMUSG00000023495",8,2,3,6,6,5
"ENSMUSG00000023505",0,2,0,0,1,1
"ENSMUSG00000023571",0,0,0,0,1,0
"ENSMUSG00000023572",1,1,2,1,2,2
"ENSMUSG00000023577",0,0,0,0,0,0
"ENSMUSG00000023707",0,1,0,1,1,2
"ENSMUSG00000023723",0,2,1,1,3,1
"ENSMUSG00000023737",0,0,0,0,0,0
"ENSMUSG00000023755",0,1,0,1,0,1
"ENSMUSG00000023764",1,1,0,3,5,0
"ENSMUSG00000023781",1,5,1,1,2,4
"ENSMUSG00000023791",0,0,0,2,4,0
"ENSMUSG00000023795",0,1,0,0,0,1
"ENSMUSG00000023800",0,3,0,8,5,2
"ENSMUSG00000023802",0,0,0,0,0,0
"ENSMUSG00000023805",10,6,1,19,21,4
"ENSMUSG00000023806",1,0,0,0,0,0
"ENSMUSG00000023809",1,1,0,6,1,0
"ENSMUSG00000023826",1,0,1,0,0,0
"ENSMUSG00000023827",0,2,1,6,2,3
"ENSMUSG00000023828",0,0,1,0,0,1
"ENSMUSG00000023829",0,0,0,0,0,0
"ENSMUSG00000023830",3,7,1,13,14,6
"ENSMUSG00000023832",3,4,0,2,1,0
"ENSMUSG00000023845",14,8,7,36,27,8
"ENSMUSG00000023846",2,1,0,2,5,2
"ENSMUSG00000023852",3,5,4,7,11,4
"ENSMUSG00000023861",0,1,0,1,0,0
"ENSMUSG00000023868",2,4,1,16,12,10
"ENSMUSG00000023873",0,0,2,0,0,0
"ENSMUSG00000023882",0,0,0,1,0,0
"ENSMUSG00000023883",3,1,0,10,7,0
"ENSMUSG00000023885",3,2,0,7,7,1
"ENSMUSG00000023886",2,1,1,1,1,0
"ENSMUSG00000023892",0,0,1,1,0,0
"ENSMUSG00000023902",0,0,0,0,0,0
"ENSMUSG00000023903",0,0,1,0,0,2
"ENSMUSG00000023904",1,1,3,7,8,1
"ENSMUSG00000023905",0,0,0,1,0,0
"ENSMUSG00000023906",0,0,0,0,0,0
"ENSMUSG00000023908",0,0,0,0,0,0
"ENSMUSG00000023909",4,4,0,4,7,2
"ENSMUSG00000023911",0,0,0,0,1,0
"ENSMUSG00000023912",1,0,1,6,3,1
"ENSMUSG00000023913",1,1,1,3,3,0
"ENSMUSG00000023914",0,0,0,0,0,0
"ENSMUSG00000023915",5,3,7,23,13,9
"ENSMUSG00000023918",0,0,0,0,0,0
"ENSMUSG00000023919",0,0,0,0,0,0
"ENSMUSG00000023921",0,0,0,4,6,2
"ENSMUSG00000023923",6,3,1,5,3,2
"ENSMUSG00000023926",0,0,0,0,0,0
"ENSMUSG00000023927",12,24,3,33,28,8
"ENSMUSG00000023930",0,0,0,0,0,0
"ENSMUSG00000023931",0,0,0,0,0,1
"ENSMUSG00000023932",2,2,0,0,1,0
"ENSMUSG00000023935",0,1,0,0,0,0
"ENSMUSG00000023938",1,0,0,0,2,0
"ENSMUSG00000023939",0,1,0,1,1,0
"ENSMUSG00000023940",0,0,0,0,1,0
"ENSMUSG00000023942",0,0,1,2,4,2
"ENSMUSG00000023943",0,0,0,0,0,0
"ENSMUSG00000023944",21,15,17,60,71,19
"ENSMUSG00000023945",0,0,0,0,1,0
"ENSMUSG00000023947",2,0,0,1,2,1
"ENSMUSG00000023949",0,0,0,0,2,0
"ENSMUSG00000023951",0,1,2,2,3,2
"ENSMUSG00000023952",3,1,4,3,2,0
"ENSMUSG00000023953",1,0,1,1,7,2
"ENSMUSG00000023959",1,0,1,1,2,0
"ENSMUSG00000023960",8,10,3,41,27,15
"ENSMUSG00000023961",2,3,1,5,12,0
"ENSMUSG00000023963",0,0,0,0,0,0
"ENSMUSG00000023964",0,0,0,1,0,0
"ENSMUSG00000023965",5,1,0,23,9,3
"ENSMUSG00000023966",0,1,1,0,1,0
"ENSMUSG00000023967",0,1,0,3,2,1
"ENSMUSG00000023968",0,0,0,0,0,0
"ENSMUSG00000023971",1,0,0,0,2,0
"ENSMUSG00000023972",2,2,2,2,1,3
"ENSMUSG00000023973",1,0,0,3,4,1
"ENSMUSG00000023977",6,3,5,19,25,5
"ENSMUSG00000023978",0,0,0,0,1,0
"ENSMUSG00000023979",0,0,0,0,2,0
"ENSMUSG00000023980",0,0,0,2,0,0
"ENSMUSG00000023982",0,0,0,0,0,0
"ENSMUSG00000023984",0,0,0,1,0,0
"ENSMUSG00000023987",0,0,0,0,0,0
"ENSMUSG00000023988",1,0,1,5,4,2
"ENSMUSG00000023990",3,1,1,0,1,1
"ENSMUSG00000023991",0,1,2,7,5,0
"ENSMUSG00000023992",0,0,0,0,0,0
"ENSMUSG00000023993",0,0,0,0,0,0
"ENSMUSG00000023994",2,0,0,4,3,0
"ENSMUSG00000023995",0,0,0,0,0,0
"ENSMUSG00000023999",1,0,1,1,0,0
"ENSMUSG00000024002",5,6,6,21,14,4
"ENSMUSG00000024006",0,2,0,1,1,2
"ENSMUSG00000024007",1,0,1,3,2,2
"ENSMUSG00000024008",4,3,0,4,9,1
"ENSMUSG00000024011",1,1,0,1,3,0
"ENSMUSG00000024012",3,4,3,17,14,2
"ENSMUSG00000024013",0,0,2,0,1,0
"ENSMUSG00000024014",0,1,0,2,0,0
"ENSMUSG00000024018",1,0,0,0,1,1
"ENSMUSG00000024019",0,6,0,4,3,1
"ENSMUSG00000024026",1,1,1,3,6,1
"ENSMUSG00000024027",0,0,0,0,0,0
"ENSMUSG00000024028",0,0,0,0,0,0
"ENSMUSG00000024029",0,0,0,0,0,0
"ENSMUSG00000024030",5,3,0,22,17,3
"ENSMUSG00000024032",0,0,0,0,0,0
"ENSMUSG00000024033",0,0,0,1,0,0
"ENSMUSG00000024034",0,0,0,0,0,0
"ENSMUSG00000024036",0,1,0,0,0,0
"ENSMUSG00000024037",0,0,0,3,2,1
"ENSMUSG00000024038",1,1,0,5,4,3
"ENSMUSG00000024039",0,0,0,4,0,0
"ENSMUSG00000024041",0,0,0,0,0,0
"ENSMUSG00000024042",3,6,4,8,2,3
"ENSMUSG00000024043",1,0,0,1,0,0
"ENSMUSG00000024044",7,10,6,21,21,6
"ENSMUSG00000024045",0,1,1,3,4,0
"ENSMUSG00000024048",1,1,1,5,0,1
"ENSMUSG00000024049",1,0,0,1,1,1
"ENSMUSG00000024050",3,5,3,5,7,1
"ENSMUSG00000024052",3,2,2,20,14,5
"ENSMUSG00000024053",2,0,0,3,2,1
"ENSMUSG00000024054",2,5,1,13,13,2
"ENSMUSG00000024055",0,0,0,1,0,0
"ENSMUSG00000024056",0,1,0,0,0,0
"ENSMUSG00000024059",4,0,1,14,9,2
"ENSMUSG00000024063",5,3,1,6,9,0
"ENSMUSG00000024064",0,1,0,3,1,1
"ENSMUSG00000024065",3,5,2,15,14,3
"ENSMUSG00000024066",0,1,0,3,2,0
"ENSMUSG00000024067",0,5,4,5,3,2
"ENSMUSG00000024068",5,2,0,10,9,2
"ENSMUSG00000024069",1,0,1,2,4,0
"ENSMUSG00000024070",0,1,0,3,1,1
"ENSMUSG00000024072",2,3,1,10,9,2
"ENSMUSG00000024073",17,21,11,58,57,14
"ENSMUSG00000024074",3,5,2,16,18,6
"ENSMUSG00000024076",0,0,0,0,0,0
"ENSMUSG00000024077",6,8,4,13,14,6
"ENSMUSG00000024078",2,1,0,0,0,0
"ENSMUSG00000024079",1,1,0,0,1,0
"ENSMUSG00000024081",3,4,3,8,5,0
"ENSMUSG00000024082",0,2,0,1,0,0
"ENSMUSG00000024083",28,28,12,102,90,24
"ENSMUSG00000024084",1,0,0,1,1,1
"ENSMUSG00000024085",2,5,0,9,16,3
"ENSMUSG00000024087",1,1,1,2,1,1
"ENSMUSG00000024088",0,0,0,0,0,0
"ENSMUSG00000024091",15,10,5,21,29,3
"ENSMUSG00000024095",4,11,8,15,21,5
"ENSMUSG00000024096",4,0,3,11,10,2
"ENSMUSG00000024097",1,1,1,5,3,3
"ENSMUSG00000024098",3,2,1,4,4,3
"ENSMUSG00000024099",15,7,11,17,36,10
"ENSMUSG00000024101",2,0,1,0,1,0
"ENSMUSG00000024104",2,5,0,8,5,2
"ENSMUSG00000024105",0,0,0,0,0,0
"ENSMUSG00000024107",0,0,0,0,0,0
"ENSMUSG00000024109",21,20,15,73,49,16
"ENSMUSG00000024112",4,1,0,5,6,1
"ENSMUSG00000024114",1,0,0,0,0,0
"ENSMUSG00000024116",0,0,0,0,0,0
"ENSMUSG00000024118",2,0,1,2,1,0
"ENSMUSG00000024120",2,6,2,14,5,1
"ENSMUSG00000024121",1,4,2,3,3,5
"ENSMUSG00000024122",6,13,6,30,32,8
"ENSMUSG00000024124",0,0,0,0,0,0
"ENSMUSG00000024125",0,0,0,0,0,0
"ENSMUSG00000024127",25,22,7,62,79,18
"ENSMUSG00000024128",0,0,0,0,0,0
"ENSMUSG00000024130",8,6,4,19,17,7
"ENSMUSG00000024131",0,0,0,0,0,0
"ENSMUSG00000024132",0,2,0,1,1,0
"ENSMUSG00000024134",1,0,0,1,0,0
"ENSMUSG00000024135",1,2,1,2,1,0
"ENSMUSG00000024136",0,0,0,1,1,0
"ENSMUSG00000024137",1,0,1,1,6,0
"ENSMUSG00000024140",6,9,4,23,6,3
"ENSMUSG00000024142",0,2,1,4,3,2
"ENSMUSG00000024143",4,3,1,3,3,2
"ENSMUSG00000024145",0,0,0,0,0,1
"ENSMUSG00000024146",3,1,0,4,4,0
"ENSMUSG00000024150",2,2,0,8,8,2
"ENSMUSG00000024151",3,3,2,7,8,1
"ENSMUSG00000024154",0,0,0,0,0,0
"ENSMUSG00000024155",0,0,0,0,0,0
"ENSMUSG00000024158",1,4,1,8,2,2
"ENSMUSG00000024160",0,0,0,1,0,1
"ENSMUSG00000024163",17,13,6,38,48,7
"ENSMUSG00000024164",1,1,0,5,4,1
"ENSMUSG00000024165",0,0,0,0,0,0
"ENSMUSG00000024168",0,0,0,4,0,1
